# palette_id	ui_fit	hex_colors (5-6 per palette)
cmbgm7wna000ijm0d1t58aymi	accent-only	#ecae30,#34647e,#88e1a4,#919b62,#41403f,#c2c7b4
cmbgk5e2m0000jp0ck1h49mud	light-ui	#3a3461,#dcc640,#6c5514,#dbba9a,#5968ae,#dfd2c4
cmbgj9etc0000kz0dcqwsfklm	dark-ui,light-ui	#424447,#3636c8,#1c1c68,#f4f4fc,#b4b4bc
cmbgj66790000jv0cvsa3o7k0	accent-only	#3c4c5c,#cbc1c3,#9a620d,#f29188,#047cfb,#6c7484
cmbgi734x0000jy0bseb8su83	accent-only	#7c879a,#443427,#1e376a,#afc6ec,#ce162e,#a8bcd3
cmbghvkx20000js0c7ktfczka	accent-only	#f0581b,#7c2908,#ecbc6c,#af7c64,#885549,#cf9cac
cmbghkd2o0004jx0bf4glbu25	dark-ui	#e5b084,#9f6655,#4f3770,#abaad0,#4474b7,#14043b
cmbgfh90q0000jv0d6mjigqph	dark-ui	#0666f0,#817666,#232839,#0454d4,#88c9ec,#a5bbd4
cmbges9li0000kz0cql7vohei	accent-only	#6766aa,#273147,#4f5c27,#8ba0e4,#93ac4a,#b4acd1
cmbgeqi400000l40c02zjmc89	dark-ui	#a85d45,#e5bf92,#6e768c,#4c5c74,#1c243c,#ceaaa8
cmbge2bl5000mju0crbtx8ong	dark-ui	#042b79,#7ccce9,#537fa4,#24344d,#95a7ad,#1464d4
cmbgdh7gz0002ky0d69x7ubmo	light-ui	#a8d4cc,#55b097,#166c5c,#f2fcfa,#34554f,#808080
cmbgderti0002la0c3njm91n7	dark-ui	#022e82,#0454ec,#2a3241,#7cacf4,#70798c
cmbgd9o5p000ajp0cxgikx2t0	light-ui	#f9dfa1,#ac8268,#683f30,#f0b022,#099b76,#bd977f
cmbgd7y9v0013l40d6uztzim1	dark-ui,light-ui	#a36e45,#cde284,#829a64,#212708,#243c24,#b8b9b9
cmbgd3uyy0008jo0c6mypuqk4	light-ui	#1473eb,#86591b,#62452a,#98c8aa,#fcdc4c,#a6805f
cmbgd3eiq0002l40dfjw3mdd8	light-ui	#cec2ad,#4f483a,#858133,#c5f97a,#979a5a,#3c6c14
cmbgd11cx0008ky0cz8jrynoq	accent-only	#bc5a16,#76380d,#d3b57a,#747c6c,#453f26,#bc9484
cmbgctnkf0000l40cirgxdxry	accent-only	#b6a38d,#a890f4,#a67755,#2a443e,#fbb721,#64340c
cmbgcp6py0000l40c2a0vyila	dark-ui	#d5b042,#e2ca93,#519c84,#b0d4ca,#1c2c64
