# name	type	tags	description_or_title	npm_deps	payload_file
comp-54	component	input,label,mask	input/label/mask — variant 54	use-mask-input	vendor/origin/r/comp-54.json
comp-55	component	input,label,mask,time	input/label/mask — variant 55	use-mask-input	vendor/origin/r/comp-55.json
comp-56	component	input,label,tag,emblor	input/label/tag — variant 56	emblor	vendor/origin/r/comp-56.json
comp-57	component	input,label,tag,emblor	input/label/tag — variant 57	emblor	vendor/origin/r/comp-57.json
comp-58	component	input,label,otp	input/label/otp — variant 58	input-otp	vendor/origin/r/comp-58.json
comp-59	component	label,textarea	label/textarea — variant 59		vendor/origin/r/comp-59.json
comp-60	component	label,textarea,required	label/textarea/required — variant 60		vendor/origin/r/comp-60.json
comp-61	component	label,textarea,helper	label/textarea/helper — variant 61		vendor/origin/r/comp-61.json
comp-62	component	label,textarea,hint	label/textarea/hint — variant 62		vendor/origin/r/comp-62.json
comp-63	component	label,textarea	label/textarea — variant 63		vendor/origin/r/comp-63.json
comp-64	component	label,textarea,error	label/textarea/error — variant 64		vendor/origin/r/comp-64.json
comp-65	component	label,textarea	label/textarea — variant 65		vendor/origin/r/comp-65.json
comp-66	component	label,textarea	label/textarea — variant 66		vendor/origin/r/comp-66.json
comp-67	component	label,textarea,disabled	label/textarea/disabled — variant 67		vendor/origin/r/comp-67.json
comp-68	component	label,textarea,button	label/textarea/button — variant 68		vendor/origin/r/comp-68.json
comp-69	component	label,textarea,button	label/textarea/button — variant 69		vendor/origin/r/comp-69.json
comp-70	component	label,textarea,button	label/textarea/button — variant 70		vendor/origin/r/comp-70.json
comp-71	component	label,textarea	label/textarea — variant 71		vendor/origin/r/comp-71.json
comp-72	component	label,textarea	label/textarea — variant 72		vendor/origin/r/comp-72.json
comp-73	component	label,textarea	label/textarea — variant 73		vendor/origin/r/comp-73.json
comp-74	component	label,textarea	label/textarea — variant 74		vendor/origin/r/comp-74.json
comp-75	component	label,textarea	label/textarea — variant 75		vendor/origin/r/comp-75.json
comp-76	component	label,textarea,read-only	label/textarea/read-only — variant 76		vendor/origin/r/comp-76.json
