# scale	step	light_hex	dark_hex	semantic_role	gray_pairing	step9_foreground
mauve	1	#fdfcfd	#121113	app-bg	-	white
mauve	2	#faf9fb	#1a191b	app-bg	-	white
mauve	3	#f2eff3	#232225	component-state	-	white
mauve	4	#eae7ec	#2b292d	component-state	-	white
mauve	5	#e3dfe6	#323035	component-state	-	white
mauve	6	#dbd8e0	#3c393f	border	-	white
mauve	7	#d0cdd7	#49474e	border	-	white
mauve	8	#bcbac7	#625f69	border	-	white
mauve	9	#8e8c99	#6f6d78	solid-accent	-	white
mauve	10	#84828e	#7c7a85	solid-accent	-	white
mauve	11	#65636d	#b5b2bc	text	-	white
mauve	12	#211f26	#eeeef0	text	-	white
mint	1	#f9fefd	#0e1515	app-bg	sage	dark
mint	2	#f2fbf9	#0f1b1b	app-bg	sage	dark
mint	3	#ddf9f2	#092c2b	component-state	sage	dark
mint	4	#c8f4e9	#003a38	component-state	sage	dark
mint	5	#b3ecde	#004744	component-state	sage	dark
mint	6	#9ce0d0	#105650	border	sage	dark
mint	7	#7ecfbd	#1e685f	border	sage	dark
mint	8	#4cbba5	#277f70	border	sage	dark
mint	9	#86ead4	#86ead4	solid-accent	sage	dark
mint	10	#7de0cb	#a8f5e5	solid-accent	sage	dark
mint	11	#027864	#58d5ba	text	sage	dark
mint	12	#16433c	#c4f5e1	text	sage	dark
olive	1	#fcfdfc	#111210	app-bg	-	white
olive	2	#f8faf8	#181917	app-bg	-	white
olive	3	#eff1ef	#212220	component-state	-	white
olive	4	#e7e9e7	#282a27	component-state	-	white
olive	5	#dfe2df	#2f312e	component-state	-	white
olive	6	#d7dad7	#383a36	border	-	white
olive	7	#cccfcc	#454843	border	-	white
olive	8	#b9bcb8	#5c625b	border	-	white
olive	9	#898e87	#687066	solid-accent	-	white
olive	10	#7f847d	#767d74	solid-accent	-	white
olive	11	#60655f	#afb5ad	text	-	white
olive	12	#1d211c	#eceeec	text	-	white
orange	1	#fefcfb	#17120e	app-bg	sand	dark
orange	2	#fff7ed	#1e160f	app-bg	sand	dark
orange	3	#ffefd6	#331e0b	component-state	sand	dark
orange	4	#ffdfb5	#462100	component-state	sand	dark
orange	5	#ffd19a	#562800	component-state	sand	dark
orange	6	#ffc182	#66350c	border	sand	dark
orange	7	#f5ae73	#7e451d	border	sand	dark
orange	8	#ec9455	#a35829	border	sand	dark
orange	9	#f76b15	#f76b15	solid-accent	sand	dark
orange	10	#ef5f00	#ff801f	solid-accent	sand	dark
orange	11	#cc4e00	#ffa057	text	sand	dark
orange	12	#582d1d	#ffe0c2	text	sand	dark
pink	1	#fffcfe	#191117	app-bg	mauve	white
pink	2	#fef7fb	#21121d	app-bg	mauve	white
pink	3	#fee9f5	#37172f	component-state	mauve	white
pink	4	#fbdcef	#4b143d	component-state	mauve	white
pink	5	#f6cee7	#591c47	component-state	mauve	white
pink	6	#efbfdd	#692955	border	mauve	white
pink	7	#e7acd0	#833869	border	mauve	white
pink	8	#dd93c2	#a84885	border	mauve	white
pink	9	#d6409f	#d6409f	solid-accent	mauve	white
pink	10	#cf3897	#de51a8	solid-accent	mauve	white
pink	11	#c2298a	#ff8dcc	text	mauve	white
pink	12	#651249	#fdd1ea	text	mauve	white
plum	1	#fefcff	#181118	app-bg	mauve	white
plum	2	#fdf7fd	#201320	app-bg	mauve	white
plum	3	#fbebfb	#351a35	component-state	mauve	white
plum	4	#f7def8	#451d47	component-state	mauve	white
plum	5	#f2d1f3	#512454	component-state	mauve	white
plum	6	#e9c2ec	#5e3061	border	mauve	white
plum	7	#deade3	#734079	border	mauve	white
plum	8	#cf91d8	#92549c	border	mauve	white
plum	9	#ab4aba	#ab4aba	solid-accent	mauve	white
plum	10	#a144af	#b658c4	solid-accent	mauve	white
plum	11	#953ea3	#e796f3	text	mauve	white
plum	12	#53195d	#f4d4f4	text	mauve	white
purple	1	#fefcfe	#18111b	app-bg	mauve	white
purple	2	#fbf7fe	#1e1523	app-bg	mauve	white
purple	3	#f7edfe	#301c3b	component-state	mauve	white
purple	4	#f2e2fc	#3d224e	component-state	mauve	white
purple	5	#ead5f9	#48295c	component-state	mauve	white
purple	6	#e0c4f4	#54346b	border	mauve	white
purple	7	#d1afec	#664282	border	mauve	white
purple	8	#be93e4	#8457aa	border	mauve	white
purple	9	#8e4ec6	#8e4ec6	solid-accent	mauve	white
purple	10	#8347b9	#9a5cd0	solid-accent	mauve	white
purple	11	#8145b5	#d19dff	text	mauve	white
purple	12	#402060	#ecd9fa	text	mauve	white
red	1	#fffcfc	#191111	app-bg	mauve	white
red	2	#fff7f7	#201314	app-bg	mauve	white
red	3	#feebec	#3b1219	component-state	mauve	white
red	4	#ffdbdc	#500f1c	component-state	mauve	white
red	5	#ffcdce	#611623	component-state	mauve	white
red	6	#fdbdbe	#72232d	border	mauve	white
red	7	#f4a9aa	#8c333a	border	mauve	white
red	8	#eb8e90	#b54548	border	mauve	white
red	9	#e5484d	#e5484d	solid-accent	mauve	white
red	10	#dc3e42	#ec5d5e	solid-accent	mauve	white
red	11	#ce2c31	#ff9592	text	mauve	white
red	12	#641723	#ffd1d9	text	mauve	white
ruby	1	#fffcfd	#191113	app-bg	mauve	white
ruby	2	#fff7f8	#1e1517	app-bg	mauve	white
ruby	3	#feeaed	#3a141e	component-state	mauve	white
ruby	4	#ffdce1	#4e1325	component-state	mauve	white
ruby	5	#ffced6	#5e1a2e	component-state	mauve	white
ruby	6	#f8bfc8	#6f2539	border	mauve	white
ruby	7	#efacb8	#883447	border	mauve	white
ruby	8	#e592a3	#b3445a	border	mauve	white
ruby	9	#e54666	#e54666	solid-accent	mauve	white
ruby	10	#dc3b5d	#ec5a72	solid-accent	mauve	white
ruby	11	#ca244d	#ff949d	text	mauve	white
ruby	12	#64172b	#fed2e1	text	mauve	white
sage	1	#fbfdfc	#101211	app-bg	-	white
sage	2	#f7f9f8	#171918	app-bg	-	white
sage	3	#eef1f0	#202221	component-state	-	white
sage	4	#e6e9e8	#272a29	component-state	-	white
sage	5	#dfe2e0	#2e3130	component-state	-	white
sage	6	#d7dad9	#373b39	border	-	white
sage	7	#cbcfcd	#444947	border	-	white
sage	8	#b8bcba	#5b625f	border	-	white
sage	9	#868e8b	#63706b	solid-accent	-	white
sage	10	#7c8481	#717d79	solid-accent	-	white
sage	11	#5f6563	#adb5b2	text	-	white
sage	12	#1a211e	#eceeed	text	-	white
sand	1	#fdfdfc	#111110	app-bg	-	white
sand	2	#f9f9f8	#191918	app-bg	-	white
sand	3	#f1f0ef	#222221	component-state	-	white
sand	4	#e9e8e6	#2a2a28	component-state	-	white
sand	5	#e2e1de	#31312e	component-state	-	white
sand	6	#dad9d6	#3b3a37	border	-	white
sand	7	#cfceca	#494844	border	-	white
