# rule_id	impact	wcag_tags	description	in_allowlist
autocomplete-valid	Serious	cat.forms,wcag21aa,wcag135,EN-301-549,EN-9.1.3.5,ACT,RGAAv4,RGAA-11.13.1	Ensure the autocomplete attribute is correct and suitable for the form field	no
avoid-inline-spacing	Serious	cat.structure,wcag21aa,wcag1412,EN-301-549,EN-9.1.4.12,ACT	Ensure that text spacing set through style attributes can be adjusted with custom stylesheets	no
target-size	Serious	cat.sensory-and-visual-cues,wcag22aa,wcag258	Ensure touch targets have sufficient size and space	no
accesskeys	Serious	cat.keyboard,best-practice	Ensure every accesskey attribute value is unique	no
aria-allowed-role	Minor	cat.aria,best-practice	Ensure role attribute has an appropriate value for the element	no
aria-dialog-name	Serious	cat.aria,best-practice	Ensure every ARIA dialog and alertdialog node has an accessible name	no
aria-text	Serious	cat.aria,best-practice	Ensure role="text" is used on elements with no focusable descendants	no
aria-treeitem-name	Serious	cat.aria,best-practice	Ensure every ARIA treeitem node has an accessible name	no
empty-heading	Minor	cat.name-role-value,best-practice	Ensure headings have discernible text	no
empty-table-header	Minor	cat.name-role-value,best-practice	Ensure table headers have discernible text	no
frame-tested	Critical	cat.structure,best-practice,review-item	Ensure <iframe> and <frame> elements contain the axe-core script	no
heading-order	Moderate	cat.semantics,best-practice	Ensure the order of headings is semantically correct	yes
image-redundant-alt	Minor	cat.text-alternatives,best-practice	Ensure image alternative is not repeated as text	no
label-title-only	Serious	cat.forms,best-practice	Ensure that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes	no
landmark-banner-is-top-level	Moderate	cat.semantics,best-practice	Ensure the banner landmark is at top level	no
landmark-contentinfo-is-top-level	Moderate	cat.semantics,best-practice	Ensure the contentinfo landmark is at top level	no
landmark-main-is-top-level	Moderate	cat.semantics,best-practice	Ensure the main landmark is at top level	no
landmark-no-duplicate-banner	Moderate	cat.semantics,best-practice	Ensure the document has at most one banner landmark	no
landmark-no-duplicate-contentinfo	Moderate	cat.semantics,best-practice	Ensure the document has at most one contentinfo landmark	no
